 Q,X,reg5,reg7,income,gender,age,edu1,edu2,occ,group,answered1,time1,pq1,pq2,pq3,pq4,pq5,pq6,pq7,pq8,pq9,pq10,z2,answered2,time2,q1,q2,q3,q4,q5,q6,q7,q8,q9
11522,113985,3,2,11,1,43,4,2,1,0,1,0:01:10,1,10,1,1,3,1,1,1,1,4,2,1,0:09:47,2,3,1,1,1,1,5,5,1
26616,355305,3,6,2,2,48,5,1,3,0,1,0:01:23,1,1,1,2,7,0,4,1,3,3,5,1,0:09:46,2,4,5,5,1,5,5,5,1
4038,17904,3,2,8,1,28,4,1,0,0,1,0:01:00,1,8,8,2,1,2,2,3,2,4,5,1,0:09:25,3,4,2,3,2,2,4,4,1
39107,438135,3,3,6,1,49,4,2,3,0,1,0:02:04,1,13,13,2,7,0,4,1,1,4,4,1,0:09:20,1,3,4,4,4,4,4,4,1
2333,214,3,5,8,2,60,5,1,0,0,1,0:02:32,1,1,1,2,3,2,2,1,1,3,1,1,0:09:18,2,2,4,2,2,2,4,4,1
35653,411010,2,5,3,1,25,4,1,0,0,1,0:08:35,1,8,8,2,3,2,3,2,3,4,1,1,0:09:17,2,1,3,3,3,3,3,3,1
21567,312092,2,2,5,1,47,4,2,3,0,1,0:00:33,1,4,3,1,3,2,3,1,1,3,4,1,0:09:03,2,2,4,3,2,4,5,5,1
35818,415726,3,5,5,1,58,3,2,3,0,1,0:04:14,1,14,14,1,7,0,2,1,3,3,4,1,0:09:03,4,2,3,3,3,3,3,3,1
40103,443584,1,1,7,1,36,4,2,3,0,1,0:01:42,1,1,1,1,3,1,2,2,1,3,1,1,0:09:00,2,1,3,4,4,4,2,4,1
7348,63576,3,2,2,1,62,5,1,5,0,1,0:05:25,1,14,1,2,7,0,5,1,1,3,2,1,0:08:57,2,3,4,2,2,3,4,4,1
68021,562261,2,2,4,2,54,2,2,9,0,1,0:03:28,1,10,10,1,1,2,4,1,3,3,2,1,0:08:50,2,1,3,2,2,2,3,3,1
31864,386394,1,1,2,1,53,4,2,0,0,1,0:00:58,1,10,1,1,5,2,3,1,1,3,2,1,0:08:46,2,3,4,3,2,2,4,4,1
46792,472972,2,4,2,2,22,2,2,0,0,1,0:01:12,1,14,3,2,8,0,6,2,4,3,4,1,0:08:44,2,1,3,2,1,1,4,4,1
63987,550301,2,7,1,2,62,3,2,9,0,1,0:03:46,1,12,11,1,3,2,2,3,1,3,2,1,0:08:41,2,2,3,1,1,3,5,5,1
21074,306984,3,2,1,2,24,5,1,0,0,1,0:02:37,1,1,1,2,7,0,3,1,1,4,4,1,0:08:36,2,2,4,2,1,2,4,4,1
14994,158720,1,1,7,1,39,4,1,2,0,1,0:01:30,1,1,1,1,7,0,1,1,4,5,5,1,0:08:34,3,3,3,4,1,3,3,3,1
35146,407769,3,2,1,1,62,5,1,0,0,1,0:04:29,1,10,10,2,2,2,4,1,1,3,5,1,0:08:34,1,2,5,5,5,5,5,5,1
21524,311771,3,2,1,1,54,4,2,0,0,1,0:06:23,1,12,1,2,3,2,3,2,1,5,4,1,0:08:21,2,2,2,2,1,2,4,4,1
