"","reg5","reg7","income","gender","age","edu1","edu2","occ","group","pq1","pq2","pq3","pq4","partyID","pq6","ideology","pq8","pq9","pq10","treat","direct","indirect","q3","q4","q5","q6","q7","q8","q9","party","party_f","party_lib","party_con","ideo_f","ideo_con","ideo_lib","college","korean_war","men"
"360",1,1,2,2,58,3,2,0,0,1,1,1,1,1,2,"Con",1,1,3,5,2,3,3,4,3,3,3,3,1,"Conservative Partisans","Conservative Partisans",0,1,"Con",1,0,0,0,0
"361",4,2,1,2,52,3,2,0,0,1,8,8,3,8,0,"Don't know",1,3,4,1,3,2,3,2,2,3,3,3,1,"Don't know","Don't know",0,0,"Don't know",0,0,0,0,0
"362",3,2,8,1,51,3,2,1,0,1,9,9,2,7,0,"Con",1,1,3,2,3,2,1,1,1,1,5,5,1,"No Party","No Party",0,0,"Con",1,0,0,0,1
"363",2,3,3,1,44,3,2,4,0,1,2,2,1,3,1,"Lib",2,3,4,2,3,3,1,1,1,2,3,4,1,"Liberal Partisans","Liberal Partisans",1,0,"Lib",0,1,0,0,1
"364",3,2,1,2,67,3,2,9,0,1,14,1,1,7,0,"Moderate",1,1,4,4,2,2,3,2,2,1,1,3,1,"No Party","No Party",0,0,"Moderate",0,0,0,1,0
"365",2,3,5,1,60,3,2,4,0,1,7,7,1,1,1,"Lib",1,1,3,5,2,3,3,3,2,4,4,2,1,"Conservative Partisans","Conservative Partisans",0,1,"Lib",0,1,0,0,1
"366",4,3,2,2,43,3,2,0,0,1,8,8,3,7,0,"Con",1,1,1,1,2,2,4,2,2,2,4,4,1,"No Party","No Party",0,0,"Con",1,0,0,0,0
"367",2,3,2,2,48,6,0,0,0,1,13,13,1,8,0,"Con",1,1,3,1,1,2,3,3,3,2,3,3,1,"Don't know","Don't know",0,0,"Con",1,0,0,0,0
"368",3,5,3,1,23,4,1,7,0,1,10,9,1,2,2,"Lib",1,1,5,2,1,1,4,2,2,4,4,4,1,"Conservative Partisans","Conservative Partisans",0,1,"Lib",0,1,1,0,1
"369",2,4,3,2,46,4,1,5,0,1,2,13,1,7,0,"Lib",1,1,3,3,1,1,5,4,4,5,5,5,1,"No Party","No Party",0,0,"Lib",0,1,1,0,0
"370",2,5,3,1,48,3,2,4,0,1,1,11,1,3,2,"Lib",2,3,3,5,3,3,3,3,3,3,3,3,1,"Liberal Partisans","Liberal Partisans",1,0,"Lib",0,1,0,0,1
"371",3,2,2,2,61,4,2,0,0,1,8,14,3,8,0,"Con",1,4,4,5,3,3,3,3,3,3,3,3,1,"Don't know","Don't know",0,0,"Con",1,0,1,0,0
"372",2,4,0,1,42,3,2,0,0,1,3,3,1,3,2,"Lib",1,1,2,1,3,2,2,2,1,2,5,4,1,"Liberal Partisans","Liberal Partisans",1,0,"Lib",0,1,0,0,1
"373",3,6,3,2,48,5,1,2,0,1,12,1,2,3,2,"Moderate",1,1,4,1,3,3,3,2,2,2,5,5,1,"Liberal Partisans","Liberal Partisans",1,0,"Moderate",0,0,1,0,0
"374",2,7,7,2,57,4,2,3,0,1,5,5,1,4,1,"Lib",2,1,4,3,1,2,3,3,3,3,4,3,1,"Conservative Partisans","Conservative Partisans",0,1,"Lib",0,1,1,0,0
"375",3,2,6,1,51,4,1,3,0,1,8,8,2,7,0,"Moderate",1,1,3,3,3,3,4,2,3,2,4,4,1,"No Party","No Party",0,0,"Moderate",0,0,1,0,1
"376",3,2,5,2,53,4,1,9,0,1,14,14,1,8,0,"Con",1,3,4,4,2,2,4,3,1,4,4,4,1,"Don't know","Don't know",0,0,"Con",1,0,1,0,0
"377",2,7,3,2,45,3,2,3,0,1,5,5,1,7,0,"Moderate",1,1,4,5,2,3,2,2,1,1,5,5,1,"No Party","No Party",0,0,"Moderate",0,0,0,0,0
"378",2,2,11,2,27,4,2,0,0,1,1,1,1,1,1,"Con",1,1,3,3,1,3,2,2,1,1,1,1,1,"Conservative Partisans","Conservative Partisans",0,1,"Con",1,0,1,0,0
"379",1,1,5,2,51,6,0,1,0,1,1,1,1,2,2,"Con",3,1,3,4,2,3,3,3,1,3,3,3,1,"Conservative Partisans","Conservative Partisans",0,1,"Con",1,0,0,0,0
"380",2,3,5,2,52,1,2,9,0,1,14,2,2,8,0,"Moderate",1,1,3,5,4,4,5,3,5,1,1,1,1,"Don't know","Don't know",0,0,"Moderate",0,0,0,0,0
"381",3,2,7,2,20,4,1,0,0,1,8,8,2,4,2,"Moderate",3,1,5,1,2,1,4,3,3,3,4,5,1,"Conservative Partisans","Conservative Partisans",0,1,"Moderate",0,0,1,0,0
"382",2,4,2,2,50,4,2,5,0,1,14,14,1,7,0,"Moderate",1,4,3,2,3,3,3,3,2,2,3,3,1,"No Party","No Party",0,0,"Moderate",0,0,1,0,0
"383",2,3,6,1,42,4,2,4,0,1,13,2,1,7,0,"Con",1,1,3,2,3,3,2,1,1,1,4,2,1,"No Party","No Party",0,0,"Con",1,0,1,0,1
"384",1,1,2,2,49,3,1,1,0,1,1,1,2,8,0,"Moderate",2,3,3,5,1,2,3,2,1,1,5,5,1,"Don't know","Don't know",0,0,"Moderate",0,0,0,0,0
"385",3,2,3,1,55,3,2,3,0,1,8,8,2,5,1,"Lib",2,1,4,1,2,3,4,4,4,4,4,4,1,"Liberal Partisans","Liberal Partisans",1,0,"Lib",0,1,0,0,1
"386",4,2,7,2,20,4,1,0,0,1,8,8,2,7,0,"Don't know",1,1,3,2,1,1,2,1,1,1,5,5,1,"No Party","No Party",0,0,"Don't know",0,0,1,0,0
"387",2,7,4,1,59,4,2,2,0,1,5,5,1,5,2,"Lib",1,1,3,2,3,3,4,2,2,2,5,4,1,"Liberal Partisans","Liberal Partisans",1,0,"Lib",0,1,1,0,1
"388",3,2,7,2,39,3,2,2,0,1,15,15,2,8,0,"Moderate",1,1,4,3,3,2,4,2,1,1,2,4,1,"Don't know","Don't know",0,0,"Moderate",0,0,0,0,0
"389",2,2,3,1,65,4,1,0,0,1,4,4,1,3,1,"Lib",1,1,4,4,2,2,5,1,1,3,5,5,1,"Liberal Partisans","Liberal Partisans",1,0,"Lib",0,1,1,1,1
"390",3,2,3,2,49,5,1,3,0,1,13,1,2,4,2,"Lib",1,4,3,4,2,2,4,2,2,1,5,5,1,"Conservative Partisans","Conservative Partisans",0,1,"Lib",0,1,1,0,0
"391",3,6,4,2,59,5,1,2,0,1,1,1,2,7,0,"Lib",1,1,4,4,3,3,5,5,1,5,5,5,1,"No Party","No Party",0,0,"Lib",0,1,1,0,0
"392",2,3,4,2,52,2,2,0,0,1,2,2,1,3,2,"Moderate",2,3,5,1,2,2,3,3,3,3,4,4,1,"Liberal Partisans","Liberal Partisans",1,0,"Moderate",0,0,0,0,0
"393",2,4,4,1,45,3,1,0,0,1,13,13,1,7,0,"Moderate",1,1,4,2,3,2,3,3,3,3,3,3,1,"No Party","No Party",0,0,"Moderate",0,0,0,0,1
"394",3,6,3,2,58,3,2,9,0,1,9,9,2,7,0,"Con",1,1,3,3,2,1,3,1,1,1,5,5,1,"No Party","No Party",0,0,"Con",1,0,0,0,0
"395",3,2,2,2,53,3,2,0,0,1,9,9,2,3,2,"Lib",2,1,4,5,3,2,5,5,4,3,3,3,1,"Liberal Partisans","Liberal Partisans",1,0,"Lib",0,1,0,0,0
"396",1,1,2,2,55,5,1,2,0,1,1,1,1,3,1,"Lib",1,1,3,1,3,3,4,2,2,2,5,5,1,"Liberal Partisans","Liberal Partisans",1,0,"Lib",0,1,1,0,0
"397",3,5,3,2,52,3,2,5,0,1,10,10,2,7,0,"Con",1,3,4,3,2,3,3,3,2,2,3,4,1,"No Party","No Party",0,0,"Con",1,0,0,0,0
"398",1,1,5,2,48,4,2,2,0,1,1,1,1,8,0,"Lib",2,1,4,3,3,3,4,3,2,2,5,5,1,"Don't know","Don't know",0,0,"Lib",0,1,1,0,0
"399",3,2,1,1,27,2,1,0,0,1,12,8,2,7,0,"Lib",1,4,3,3,3,2,4,4,4,3,5,5,1,"No Party","No Party",0,0,"Lib",0,1,0,0,1
"400",3,5,5,2,46,3,2,5,0,1,10,10,2,8,0,"Moderate",4,1,4,3,3,2,3,4,4,3,4,4,1,"Don't know","Don't know",0,0,"Moderate",0,0,0,0,0
"401",3,5,3,1,45,3,2,4,0,1,10,6,2,7,0,"Lib",1,1,5,3,2,2,5,3,1,3,5,5,1,"No Party","No Party",0,0,"Lib",0,1,0,0,1
"402",3,6,2,2,47,3,2,3,0,1,9,1,2,8,0,"Lib",1,1,4,4,2,2,2,1,1,1,5,5,1,"Don't know","Don't know",0,0,"Lib",0,1,0,0,0
"403",3,6,2,2,50,3,2,0,0,1,13,13,3,3,1,"Con",1,1,3,5,2,2,5,5,5,5,5,5,1,"Liberal Partisans","Liberal Partisans",1,0,"Con",1,0,0,0,0
"404",3,7,0,1,58,4,2,0,0,1,11,11,2,3,1,"Lib",1,1,3,5,2,2,2,2,2,2,2,2,1,"Liberal Partisans","Liberal Partisans",1,0,"Lib",0,1,1,0,1
"405",1,1,5,1,57,3,2,4,0,1,12,12,1,8,0,"Don't know",1,2,4,5,2,2,3,3,3,3,3,3,1,"Don't know","Don't know",0,0,"Don't know",0,0,0,0,1
"406",3,2,3,1,62,4,2,4,0,1,10,10,2,3,1,"Lib",1,1,4,1,3,2,4,4,3,3,4,4,1,"Liberal Partisans","Liberal Partisans",1,0,"Lib",0,1,1,0,1
"407",3,2,3,2,46,3,2,9,0,1,11,11,2,7,0,"Don't know",1,2,2,1,2,2,3,3,2,2,2,3,1,"No Party","No Party",0,0,"Don't know",0,0,0,0,0
"408",3,7,5,1,60,4,1,0,0,1,12,12,2,4,2,"Don't know",2,1,4,4,2,3,3,3,3,3,3,3,1,"Conservative Partisans","Conservative Partisans",0,1,"Don't know",0,0,1,0,1
"409",2,5,4,2,36,4,2,0,0,1,10,6,1,3,2,"Lib",1,1,4,2,2,2,1,1,1,1,5,5,1,"Liberal Partisans","Liberal Partisans",1,0,"Lib",0,1,1,0,0
"410",2,5,2,1,44,3,2,4,0,1,5,11,1,3,1,"Don't know",2,1,4,3,2,1,2,2,2,2,4,4,1,"Liberal Partisans","Liberal Partisans",1,0,"Don't know",0,0,0,0,1
"411",3,6,4,1,58,4,2,4,0,1,9,9,2,7,0,"Moderate",1,1,3,1,3,1,3,1,1,1,1,3,1,"No Party","No Party",0,0,"Moderate",0,0,1,0,1
"412",3,2,4,2,62,4,2,0,0,1,10,10,2,8,0,"Moderate",1,1,4,2,2,2,5,3,3,3,3,4,1,"Don't know","Don't know",0,0,"Moderate",0,0,1,0,0
"413",1,1,4,2,51,3,2,0,0,1,9,1,1,8,0,"Moderate",2,1,4,2,3,3,3,3,3,3,3,3,1,"Don't know","Don't know",0,0,"Moderate",0,0,0,0,0
"414",3,7,3,2,49,3,2,6,0,1,10,10,2,7,0,"Con",1,1,4,3,2,3,4,4,3,2,3,3,1,"No Party","No Party",0,0,"Con",1,0,0,0,0
"415",3,2,4,1,64,5,1,0,0,1,8,11,2,3,1,"Moderate",1,1,3,3,2,3,5,5,1,2,5,5,1,"Liberal Partisans","Liberal Partisans",1,0,"Moderate",0,0,1,0,1
"416",3,2,0,2,43,5,1,2,0,1,5,5,2,5,1,"Lib",2,1,3,4,3,4,3,3,3,2,3,4,1,"Liberal Partisans","Liberal Partisans",1,0,"Lib",0,1,1,0,0
"417",3,3,5,2,50,3,2,5,0,1,13,15,2,3,2,"Don't know",2,1,5,5,1,3,3,3,1,1,1,3,1,"Liberal Partisans","Liberal Partisans",1,0,"Don't know",0,0,0,0,0
"418",1,1,5,1,47,3,2,4,0,1,9,1,1,7,0,"Lib",1,1,3,5,3,2,2,2,2,2,4,2,1,"No Party","No Party",0,0,"Lib",0,1,0,0,1
"419",1,1,3,1,46,6,0,0,0,1,12,8,1,3,2,"Lib",1,1,3,1,2,3,4,4,3,5,4,5,1,"Liberal Partisans","Liberal Partisans",1,0,"Lib",0,1,0,0,1
"420",3,7,3,1,52,5,1,2,0,1,11,11,2,7,0,"Con",1,1,3,5,3,1,4,4,2,4,5,5,1,"No Party","No Party",0,0,"Con",1,0,1,0,1
"421",1,1,4,1,65,4,2,0,0,1,6,6,1,8,0,"Con",1,1,3,1,2,2,3,2,1,2,3,4,1,"Don't know","Don't know",0,0,"Con",1,0,1,1,1
"422",3,7,4,1,53,5,1,0,0,1,1,1,1,7,0,"Con",1,1,3,5,3,2,1,1,1,1,4,4,1,"No Party","No Party",0,0,"Con",1,0,1,0,1
"423",3,7,1,2,58,4,2,5,0,1,11,11,2,3,2,"Lib",2,1,3,5,2,2,3,3,3,3,3,3,1,"Liberal Partisans","Liberal Partisans",1,0,"Lib",0,1,1,0,0
"424",3,6,2,2,51,3,2,4,0,1,8,8,2,8,0,"Con",1,1,3,2,1,3,2,3,2,2,4,4,1,"Don't know","Don't know",0,0,"Con",1,0,0,0,0
"425",2,2,3,1,54,5,1,1,0,1,9,4,1,7,0,"Con",1,1,3,1,3,3,2,1,1,1,5,4,1,"No Party","No Party",0,0,"Con",1,0,1,0,1
"426",4,3,2,1,34,4,2,4,0,1,13,13,3,7,0,"Con",1,2,4,1,3,3,1,1,1,1,5,1,1,"No Party","No Party",0,0,"Con",1,0,1,0,1
"427",3,2,9,1,46,3,2,3,0,1,8,8,2,4,1,"Lib",1,1,3,3,3,2,5,4,1,1,5,5,1,"Conservative Partisans","Conservative Partisans",0,1,"Lib",0,1,0,0,1
"428",3,2,4,1,47,4,2,4,0,1,7,7,2,7,0,"Lib",1,1,3,5,3,3,4,3,3,4,4,4,1,"No Party","No Party",0,0,"Lib",0,1,1,0,1
"429",3,3,0,2,50,5,1,9,0,1,7,2,2,3,2,"Moderate",2,1,4,5,2,3,3,2,1,1,4,4,1,"Liberal Partisans","Liberal Partisans",1,0,"Moderate",0,0,1,0,0
"430",1,1,0,2,21,3,1,0,0,1,1,1,1,7,0,"Con",1,1,4,3,3,4,3,2,1,1,2,3,1,"No Party","No Party",0,0,"Con",1,0,0,0,0
"431",3,2,2,1,72,3,2,0,0,1,8,12,2,3,1,"Lib",1,1,3,5,2,1,5,1,1,2,5,5,1,"Liberal Partisans","Liberal Partisans",1,0,"Lib",0,1,0,1,1
"432",1,1,0,2,61,2,2,9,0,1,12,12,3,6,2,"Don't know",2,3,2,5,2,2,1,3,1,3,3,3,1,"Others","Others",0,0,"Don't know",0,0,0,0,0
"433",2,2,8,2,20,4,1,0,0,1,4,4,1,8,0,"Moderate",1,1,4,2,2,1,4,4,4,4,4,4,1,"Don't know","Don't know",0,0,"Moderate",0,0,1,0,0
"434",3,5,4,1,42,3,2,4,0,1,8,8,1,3,1,"Lib",1,4,4,4,3,3,3,3,3,4,4,4,1,"Liberal Partisans","Liberal Partisans",1,0,"Lib",0,1,0,0,1
"435",1,1,6,1,42,4,2,1,0,1,13,13,1,7,0,"Moderate",1,1,3,5,2,2,3,3,1,1,3,4,1,"No Party","No Party",0,0,"Moderate",0,0,1,0,1
"436",3,3,4,2,61,3,2,9,0,1,14,14,2,1,2,"Con",1,1,3,5,3,3,3,3,4,3,4,4,1,"Conservative Partisans","Conservative Partisans",0,1,"Con",1,0,0,0,0
"437",3,2,7,2,45,4,2,3,0,1,8,1,2,7,0,"Moderate",1,1,5,5,3,2,4,3,3,3,4,4,1,"No Party","No Party",0,0,"Moderate",0,0,1,0,0
"438",2,3,7,2,54,6,0,0,0,1,14,2,1,1,2,"Lib",1,2,4,1,2,1,1,1,1,1,1,5,1,"Conservative Partisans","Conservative Partisans",0,1,"Lib",0,1,0,0,0
"439",3,6,5,2,29,4,2,3,0,1,3,3,2,7,0,"Con",1,1,2,2,2,2,3,2,2,2,3,3,1,"No Party","No Party",0,0,"Con",1,0,1,0,0
"440",2,4,2,2,35,4,2,2,0,1,3,3,1,7,0,"Don't know",1,1,3,3,2,2,4,3,1,3,3,3,1,"No Party","No Party",0,0,"Don't know",0,0,1,0,0
"441",4,7,8,2,33,4,2,2,0,1,12,12,3,3,2,"Lib",2,3,3,1,2,1,2,2,2,2,2,2,1,"Liberal Partisans","Liberal Partisans",1,0,"Lib",0,1,1,0,0
"442",3,2,0,2,46,5,1,0,0,1,14,8,2,7,0,"Moderate",1,1,4,1,1,3,4,2,2,3,4,4,1,"No Party","No Party",0,0,"Moderate",0,0,1,0,0
"443",2,3,1,2,63,2,2,9,0,1,7,7,3,7,0,"Con",1,3,3,2,2,1,4,4,2,3,4,4,1,"No Party","No Party",0,0,"Con",1,0,0,0,0
"444",2,4,3,1,42,3,2,3,0,1,13,13,1,7,0,"Moderate",1,1,3,4,1,1,3,3,3,3,3,3,1,"No Party","No Party",0,0,"Moderate",0,0,0,0,1
"445",3,6,3,2,50,3,2,5,0,1,9,9,2,7,0,"Moderate",3,3,2,4,3,2,4,4,4,3,5,5,1,"No Party","No Party",0,0,"Moderate",0,0,0,0,0
"446",3,2,2,2,48,2,1,3,0,1,1,1,2,7,0,"Don't know",3,3,4,2,3,2,3,3,3,3,1,1,1,"No Party","No Party",0,0,"Don't know",0,0,0,0,0
"447",3,2,1,2,53,4,1,0,0,1,8,8,2,5,1,"Moderate",2,1,4,1,2,3,3,2,1,2,5,4,1,"Liberal Partisans","Liberal Partisans",1,0,"Moderate",0,0,1,0,0
"448",2,2,3,2,51,4,1,0,0,1,4,4,1,3,1,"Lib",1,1,3,4,2,2,4,3,3,4,4,4,1,"Liberal Partisans","Liberal Partisans",1,0,"Lib",0,1,1,0,0
"449",2,3,1,1,69,2,2,6,0,1,7,7,3,7,0,"Con",1,2,3,5,2,1,4,4,2,3,4,4,1,"No Party","No Party",0,0,"Con",1,0,0,1,1
"450",1,1,2,1,50,3,2,0,0,1,1,1,1,7,0,"Con",2,1,3,5,2,3,4,3,2,4,4,4,1,"No Party","No Party",0,0,"Con",1,0,0,0,1
"451",1,1,2,2,62,3,1,9,0,1,1,1,1,7,0,"Lib",1,1,3,2,3,2,3,3,3,1,5,5,1,"No Party","No Party",0,0,"Lib",0,1,0,0,0
"452",3,7,2,2,56,3,2,9,0,1,12,12,2,3,1,"Lib",1,3,2,3,1,2,3,3,2,2,2,2,1,"Liberal Partisans","Liberal Partisans",1,0,"Lib",0,1,0,0,0
"453",2,3,1,1,46,3,2,0,0,1,2,2,1,7,0,"Don't know",2,2,3,4,2,1,4,2,2,2,4,4,1,"No Party","No Party",0,0,"Don't know",0,0,0,0,1
"454",1,1,4,1,32,6,0,2,0,1,12,12,2,3,2,"Moderate",2,1,4,5,2,1,3,2,2,2,4,4,1,"Liberal Partisans","Liberal Partisans",1,0,"Moderate",0,0,0,0,1
"455",2,5,8,2,46,4,2,2,0,1,13,13,1,8,0,"Lib",1,3,4,1,2,1,5,5,5,3,5,4,1,"Don't know","Don't know",0,0,"Lib",0,1,1,0,0
"456",1,1,5,2,34,4,2,3,0,1,1,1,1,7,0,"Moderate",1,1,5,2,3,3,3,2,2,2,4,3,1,"No Party","No Party",0,0,"Moderate",0,0,1,0,0
"457",2,2,2,2,59,4,2,0,0,1,10,4,1,8,0,"Lib",2,1,3,2,3,1,3,3,2,2,3,3,1,"Don't know","Don't know",0,0,"Lib",0,1,1,0,0
"458",4,2,4,1,74,4,2,3,0,1,10,8,3,5,1,"Lib",1,1,4,2,3,2,4,2,1,1,3,4,1,"Liberal Partisans","Liberal Partisans",1,0,"Lib",0,1,1,1,1
"459",3,5,6,1,45,1,2,3,0,1,10,9,2,3,1,"Lib",2,2,3,3,3,3,3,2,2,1,1,1,1,"Liberal Partisans","Liberal Partisans",1,0,"Lib",0,1,0,0,1
"460",1,1,7,1,65,5,1,0,0,1,6,6,1,1,1,"Con",1,1,3,5,3,3,5,5,4,3,5,5,1,"Conservative Partisans","Conservative Partisans",0,1,"Con",1,0,1,1,1
"461",2,3,6,1,46,4,2,4,0,1,14,2,1,3,1,"Lib",1,1,3,2,3,2,4,4,3,4,3,3,1,"Liberal Partisans","Liberal Partisans",1,0,"Lib",0,1,1,0,1
"462",2,4,1,1,57,3,2,0,0,1,13,13,1,8,0,"Don't know",1,1,4,2,2,2,3,3,3,3,4,3,1,"Don't know","Don't know",0,0,"Don't know",0,0,0,0,1
"463",3,6,0,2,52,2,2,9,0,1,15,15,2,8,0,"Don't know",1,1,4,3,2,1,3,3,3,3,3,3,1,"Don't know","Don't know",0,0,"Don't know",0,0,0,0,0
"464",3,2,2,2,42,6,0,0,0,1,8,11,2,3,1,"Lib",2,3,5,1,3,2,3,3,3,4,4,3,1,"Liberal Partisans","Liberal Partisans",1,0,"Lib",0,1,0,0,0
"465",1,1,8,1,47,4,2,3,0,1,1,1,1,3,1,"Lib",1,1,3,3,1,3,4,3,2,3,4,4,1,"Liberal Partisans","Liberal Partisans",1,0,"Lib",0,1,1,0,1
"466",2,5,2,2,52,3,2,5,0,1,15,15,1,8,0,"Don't know",1,3,1,2,2,4,2,2,2,3,3,3,1,"Don't know","Don't know",0,0,"Don't know",0,0,0,0,0
"467",3,2,6,2,51,4,1,5,0,1,8,12,2,7,0,"Lib",2,1,3,2,2,2,3,3,3,3,3,3,1,"No Party","No Party",0,0,"Lib",0,1,1,0,0
"468",3,2,11,2,26,5,1,0,0,1,2,4,1,8,0,"Con",1,3,4,4,2,3,3,2,1,1,1,3,1,"Don't know","Don't know",0,0,"Con",1,0,1,0,0
"469",2,3,2,1,56,3,2,4,0,1,13,13,1,7,0,"Don't know",1,1,4,4,2,2,3,3,3,4,4,4,1,"No Party","No Party",0,0,"Don't know",0,0,0,0,1
"470",2,7,2,1,52,5,1,2,0,1,11,5,1,3,2,"Moderate",2,1,3,5,3,3,4,2,2,4,4,4,1,"Liberal Partisans","Liberal Partisans",1,0,"Moderate",0,0,1,0,1
"471",2,5,5,2,68,3,2,9,0,1,6,6,1,3,1,"Lib",1,1,3,5,3,3,5,5,4,3,4,4,1,"Liberal Partisans","Liberal Partisans",1,0,"Lib",0,1,0,1,0
"472",3,2,3,1,53,3,2,0,0,1,12,12,2,7,0,"Con",2,1,3,1,3,2,4,3,3,4,4,3,1,"No Party","No Party",0,0,"Con",1,0,0,0,1
"473",2,4,1,1,43,3,2,0,0,1,13,3,1,3,2,"Moderate",1,1,3,1,2,2,3,2,2,4,3,4,1,"Liberal Partisans","Liberal Partisans",1,0,"Moderate",0,0,0,0,1
"474",4,7,3,1,39,3,2,4,0,1,12,5,3,7,0,"Lib",2,2,4,2,3,2,1,1,1,1,5,5,1,"No Party","No Party",0,0,"Lib",0,1,0,0,1
"475",3,5,2,2,46,3,2,0,0,1,10,10,2,3,2,"Moderate",2,3,3,2,2,3,3,3,3,3,3,3,1,"Liberal Partisans","Liberal Partisans",1,0,"Moderate",0,0,0,0,0
"476",3,7,0,2,60,3,2,9,0,1,10,1,2,8,0,"Con",1,1,3,3,1,2,3,4,4,4,5,4,1,"Don't know","Don't know",0,0,"Con",1,0,0,0,0
"477",3,2,3,1,68,4,2,0,0,1,8,1,2,4,2,"Lib",1,1,3,3,2,2,2,2,1,2,4,4,1,"Conservative Partisans","Conservative Partisans",0,1,"Lib",0,1,1,1,1
"478",3,6,2,1,22,4,1,0,0,1,15,15,2,1,2,"Moderate",1,1,3,4,2,3,4,2,1,2,3,4,1,"Conservative Partisans","Conservative Partisans",0,1,"Moderate",0,0,1,0,1
"479",1,1,11,1,69,4,2,2,0,1,1,9,1,7,0,"Con",1,1,3,3,2,2,3,2,2,2,4,4,1,"No Party","No Party",0,0,"Con",1,0,1,1,1
"480",2,5,3,2,60,4,2,2,0,1,6,4,1,7,0,"Con",1,2,4,1,3,2,1,1,1,1,5,5,1,"No Party","No Party",0,0,"Con",1,0,1,0,0
"481",1,1,5,1,40,4,2,4,0,1,15,15,3,5,2,"Lib",4,1,4,2,2,2,1,1,1,1,5,5,1,"Liberal Partisans","Liberal Partisans",1,0,"Lib",0,1,1,0,1
"482",2,5,3,2,37,4,2,0,0,1,10,10,1,3,1,"Lib",1,1,3,3,2,2,3,4,2,2,4,4,1,"Liberal Partisans","Liberal Partisans",1,0,"Lib",0,1,1,0,0
"483",3,2,5,2,53,4,1,5,0,1,8,10,2,8,0,"Con",1,1,3,3,2,2,5,5,1,5,5,5,1,"Don't know","Don't know",0,0,"Con",1,0,1,0,0
"484",1,1,3,2,45,3,2,0,0,1,9,1,1,8,0,"Con",1,1,1,4,3,3,3,3,2,4,4,4,1,"Don't know","Don't know",0,0,"Con",1,0,0,0,0
"485",3,2,4,2,54,3,2,0,0,1,1,1,2,7,0,"Con",1,1,3,4,3,3,4,3,3,3,4,5,1,"No Party","No Party",0,0,"Con",1,0,0,0,0
"486",3,6,1,2,51,3,2,3,0,1,15,15,2,3,2,"Lib",2,1,1,4,3,2,3,3,2,2,4,4,1,"Liberal Partisans","Liberal Partisans",1,0,"Lib",0,1,0,0,0
"487",3,5,1,2,59,1,2,9,0,1,10,10,1,7,0,"Con",1,1,5,4,2,3,3,1,1,1,5,3,1,"No Party","No Party",0,0,"Con",1,0,0,0,0
"488",1,1,7,2,34,4,2,2,0,1,3,3,1,7,0,"Lib",1,1,4,4,3,3,3,1,1,1,3,3,1,"No Party","No Party",0,0,"Lib",0,1,1,0,0
"489",3,7,5,2,53,4,2,3,0,1,12,5,2,3,1,"Lib",2,1,3,5,3,1,3,2,1,1,2,1,1,"Liberal Partisans","Liberal Partisans",1,0,"Lib",0,1,1,0,0
"490",2,4,6,2,46,3,2,0,0,1,3,3,1,7,0,"Moderate",1,1,4,2,3,2,4,4,2,3,4,4,1,"No Party","No Party",0,0,"Moderate",0,0,0,0,0
"491",1,1,3,2,53,4,1,2,0,1,1,1,1,7,0,"Lib",1,2,3,4,3,2,5,3,3,3,5,3,1,"No Party","No Party",0,0,"Lib",0,1,1,0,0
"492",2,3,6,2,20,4,1,0,0,1,2,2,1,2,2,"Con",1,4,3,4,2,1,4,3,1,4,5,4,1,"Conservative Partisans","Conservative Partisans",0,1,"Con",1,0,1,0,0
"493",2,2,2,2,57,4,1,0,0,1,11,11,2,1,2,"Con",1,2,3,5,2,2,3,3,2,2,2,4,1,"Conservative Partisans","Conservative Partisans",0,1,"Con",1,0,1,0,0
"494",3,5,1,2,47,3,2,0,0,1,10,10,3,3,1,"Moderate",2,3,4,5,2,3,5,3,3,3,5,5,1,"Liberal Partisans","Liberal Partisans",1,0,"Moderate",0,0,0,0,0
"495",3,2,2,2,57,2,2,9,0,1,12,1,2,7,0,"Moderate",2,1,3,5,3,2,3,3,3,3,3,3,1,"No Party","No Party",0,0,"Moderate",0,0,0,0,0
"496",4,3,2,2,53,4,1,9,0,1,13,13,3,7,0,"Lib",1,1,1,1,2,2,1,1,1,1,1,1,1,"No Party","No Party",0,0,"Lib",0,1,1,0,0
"497",3,2,1,2,56,1,2,9,0,1,8,10,2,8,0,"Lib",1,1,4,2,2,1,3,4,1,3,1,5,1,"Don't know","Don't know",0,0,"Lib",0,1,0,0,0
"498",2,2,5,1,40,4,2,2,0,1,4,4,1,7,0,"Moderate",1,3,4,3,2,2,2,2,2,3,4,3,1,"No Party","No Party",0,0,"Moderate",0,0,1,0,1
"499",1,1,1,2,60,5,1,2,0,1,1,1,1,7,0,"Con",1,1,4,5,3,2,4,3,2,3,5,4,1,"No Party","No Party",0,0,"Con",1,0,1,0,0
"500",1,1,3,1,54,3,2,4,0,1,12,4,1,3,2,"Lib",1,1,3,2,3,3,4,3,2,4,4,4,1,"Liberal Partisans","Liberal Partisans",1,0,"Lib",0,1,0,0,1
"501",2,7,3,2,40,4,2,0,0,1,12,12,1,3,1,"Lib",2,1,1,1,3,3,3,3,3,3,4,3,1,"Liberal Partisans","Liberal Partisans",1,0,"Lib",0,1,1,0,0
"502",1,1,2,2,58,3,2,3,0,1,1,1,1,7,0,"Lib",1,1,4,1,3,1,3,3,1,4,3,3,1,"No Party","No Party",0,0,"Lib",0,1,0,0,0
